"food_id","food_public_id","food_name","total_pp","Status","total_pp_adj","Status_adj"
120,"FOOD00120","Evening primrose",25900,"Quantified",25900,"Quantified"
813,"FOOD00788","Nance",22755,"Quantified",22755,"Quantified"
1021,"FOOD00989","Herbal tea",21296.7067702592,"Quantified",21296.7067702592,"Quantified"
957,"FOOD00925","Red tea",21294.3867702592,"Quantified",21294.3867702592,"Quantified"
939,"FOOD00907","Black tea",20205.5625950983,"Quantified",20205.5625950983,"Quantified"
940,"FOOD00908","Green tea",20205.5625950983,"Quantified",20205.5625950983,"Quantified"
38,"FOOD00038","Tea",19896.6186677764,"Quantified",19896.6186677764,"Quantified"
89,"FOOD00089","Hyssop",17008.900000096,"Quantified",17008.900000096,"Quantified"
106,"FOOD00106","Mango",16557.000000029,"Quantified",16557.000000029,"Quantified"
93,"FOOD00093","Black walnut",14703.5,"Quantified",14703.5,"Quantified"
151,"FOOD00151","Pomegranate",14039.5998272942,"Quantified",14039.5998272942,"Quantified"
193,"FOOD00193","Bilberry",11707.2096874855,"Quantified",11707.2096874855,"Quantified"
183,"FOOD00183","Common thyme",10614.796250095,"Quantified",10614.796250095,"Quantified"
150,"FOOD00150","Guava",10467.7666666667,"Quantified",10467.7666666667,"Quantified"
164,"FOOD00164","Sorrel",10183.5,"Quantified",10183.5,"Quantified"
110,"FOOD00110","Orange mint",10100,"Quantified",10100,"Quantified"
94,"FOOD00094","Common walnut",9963.05484197693,"Quantified",9963.05484197693,"Quantified"
155,"FOOD00155","Blackcurrant",9440.07674945737,"Quantified",9440.07674945737,"Quantified"
124,"FOOD00124","Common oregano",9372.07000003133,"Quantified",9372.07000003133,"Quantified"
59,"FOOD00059","Arabica coffee",9143.5379814485,"Quantified",9143.5379814485,"Quantified"
11,"FOOD00011","Cashew nut",9002.46666667467,"Quantified",9002.46666667467,"Quantified"
167,"FOOD00167","Summer savory",8850,"Quantified",8850,"Quantified"
182,"FOOD00182","Cocoa bean",7795.85,"Quantified",7795.85,"Quantified"
113,"FOOD00113","Peppermint",7303.94409342783,"Quantified",7303.94409342783,"Quantified"
147,"FOOD00147","European plum",7032.30742822806,"Quantified",7032.30742822806,"Quantified"
180,"FOOD00180","Tamarind",7000,"Quantified",7000,"Quantified"
68,"FOOD00068","Turmeric",6625.2607142855,"Quantified",6625.2607142855,"Quantified"
165,"FOOD00165","Common sage",6561.43940650858,"Quantified",6561.43940650858,"Quantified"
368,"FOOD00363","European chestnut",6466.67666666667,"Quantified",6466.67666666667,"Quantified"
146,"FOOD00146","Sour cherry",6081.9503328,"Quantified",6081.9503328,"Quantified"
162,"FOOD00162","Red raspberry",6035.27197975867,"Quantified",6035.27197975867,"Quantified"
204,"FOOD00204","Common grape",5546.63686686742,"Quantified",5546.63686686742,"Quantified"
468,"FOOD00458","Sapodilla",4805,"Quantified",4805,"Quantified"
130,"FOOD00130","Avocado",4700.72,"Quantified",4700.72,"Quantified"
131,"FOOD00131","Parsley",4360.4392819355,"Quantified",4360.4392819355,"Quantified"
197,"FOOD00197","Broad bean",4243.07662259258,"Quantified",4243.07662259258,"Quantified"
166,"FOOD00166","Black elderberry",3601.2392512505,"Quantified",3601.2392512505,"Quantified"
122,"FOOD00122","Sweet marjoram",3310.04999983317,"Quantified",3310.04999983317,"Quantified"
389,"FOOD00384","Jackfruit",3300,"Quantified",3300,"Quantified"
175,"FOOD00175","Potato",3216.40757144357,"Quantified",3216.40757144357,"Quantified"
26,"FOOD00026","Borage",3212.5,"Quantified",3212.5,"Quantified"
87,"FOOD00087","Sea-buckthornberry",3211.04333364867,"Quantified",3211.04333364867,"Quantified"
196,"FOOD00196","Common verbena",3155,"Quantified",3155,"Quantified"
6,"FOOD00006","Garden onion",2997.27285,"Quantified",2997.27285,"Quantified"
159,"FOOD00159","Rosemary",2597.5988869487,"Quantified",2597.5988869487,"Quantified"
108,"FOOD00108","Lemon balm",2285.900000096,"Quantified",2285.900000096,"Quantified"
15,"FOOD00015","Wild celery",2249.59668192567,"Quantified",2249.59668192567,"Quantified"
632,"FOOD00618","Milk (Cow)",2177.83805594872,"Quantified",2177.83805594872,"Quantified"
938,"FOOD00906","Blackberry",2142.775,"Quantified",2142.775,"Quantified"
154,"FOOD00154","Garden rhubarb",2029.8600001,"Quantified",2029.8600001,"Quantified"
346,"FOOD00341","Cottonseed",2029.25,"Quantified",2029.25,"Quantified"
79,"FOOD00079","Common buckwheat",2013.38319865445,"Quantified",2013.38319865445,"Quantified"
102,"FOOD00102","Mexican oregano",1873.36194525867,"Quantified",1873.36194525867,"Quantified"
179,"FOOD00179","Cloves",1798.3569987875,"Quantified",1798.3569987875,"Quantified"
112,"FOOD00112","Spearmint",1713.538889183,"Quantified",1713.538889183,"Quantified"
135,"FOOD00135","Date",1688.481666747,"Quantified",1688.481666747,"Quantified"
326,"FOOD00321","Carob",1589.84666666667,"Quantified",1589.84666666667,"Quantified"
937,"FOOD00905","Andean blackberry",1531.8,"Quantified",1531.8,"Quantified"
111,"FOOD00111","Cornmint",1407.475,"Quantified",1407.475,"Quantified"
