"id","food_V2_ID","foodb_descrip","FooDB_Nutrient","FooDB_Value"
1,1,"kiwi","FAT",1.955
2,2,"onion","FAT",1.85395
3,2,"onion","FAT",4.15
4,3,"chives","FAT",3.9
5,4,"cashew","FAT",2.5
6,4,"cashew","FAT",1.3
7,4,"cashew","FAT",42.6
8,5,"pineapple","FAT",2.1886
9,6,"dill","FAT",4.5
10,6,"dill","FAT",12.41
11,7,"custard apple","FAT",1.15
12,7,"custard apple","FAT",40
14,8,"celery","FAT",2.165
15,8,"celery","FAT",26.11065
16,9,"groundnut","FAT",1.7
17,9,"groundnut","FAT",5.85
18,9,"groundnut","FAT",36.0817
19,10,"burdock","FAT",16.5
20,10,"burdock","FAT",0.48175
21,10,"burdock","FAT",0.45
22,11,"horseradish","FAT",0.7
23,12,"tarragon","FAT",38.1
24,12,"tarragon","FAT",7.5
25,13,"mugwort","FAT",3.55
27,14,"asparagus","FAT",2.15
28,15,"oats","FAT",2.9
29,15,"oats","FAT",5.4
30,16,"carambola","FAT",2.64
31,17,"brazilnut","FAT",67.4595
32,18,"beebread","FAT",5.35
33,18,"beebread","FAT",38.3
34,19,"mustard greens","FAT",7.535
35,19,"mustard greens","FAT",34
36,20,"brussel sprout","FAT",1.528
37,21,"kohlrabi","FAT",0.6055
39,23,"pigeonpea","FAT",1.3
40,23,"pigeonpea","FAT",6.9
41,23,"pigeonpea","FAT",6
42,23,"pigeonpea","FAT",3.0677
43,24,"tea","FAT",9.25
44,25,"caper","FAT",0.47
45,25,"caper","FAT",3.75
46,25,"caper","FAT",1.1
47,25,"caper","FAT",33.1
48,26,"bell pepper","FAT",7.3
49,26,"bell pepper","FAT",12.5
50,27,"papaya","FAT",1.149
51,27,"papaya","FAT",2.4
52,27,"papaya","FAT",7.2
53,27,"papaya","FAT",25.3
54,28,"safflower","FAT",6.3
55,28,"safflower","FAT",3.35
56,28,"safflower","FAT",41.3
57,29,"caraway","FAT",15.1913
58,30,"garden camomile","FAT",3.9
59,31,"chickpea","FAT",6.4375
60,32,"endive","FAT",1.71
61,33,"chicory","FAT",1.5
62,33,"chicory","FAT",0.6
63,34,"canela de la china sp.","FAT",3.5
64,35,"ceylon cinnamon","FAT",1.4
66,36,"watermelon","FAT",4.46
67,36,"watermelon","FAT",38.55
68,37,"lime","FAT",1.435
69,38,"lemon","FAT",2.8
70,38,"lemon","FAT",35
71,39,"mandarin","FAT",1.195
72,40,"orange","FAT",0.855
73,41,"coffee","FAT",5.7
74,41,"coffee","FAT",12.2
75,42,"chinese parsley","FAT",16
76,42,"chinese parsley","FAT",2.8
77,43,"cobnut","FAT",57.5
78,44,"saffron","FAT",9.515
79,45,"cantaloupe","FAT",1.59775
80,45,"cantaloupe","FAT",37.3
81,46,"cucumber","FAT",2.19685
82,46,"cucumber","FAT",36.25
83,47,"summer squash","FAT",1.7665
84,48,"cumin","FAT",20.219
86,49,"indian saffron","FAT",8.55
87,50,"quince","FAT",0.9
88,50,"quince","FAT",16.6
89,51,"lemongrass","FAT",7.1
90,52,"carrot","FAT",1.535
91,52,"carrot","FAT",19.45
92,53,"cardamom","FAT",2.5
93,53,"cardamom","FAT",8.35
94,54,"loquat","FAT",2.6
95,54,"loquat","FAT",40
97,56,"buckwheat","FAT",2.19
98,57,"echte feige ger.","FAT",1.3
99,57,"echte feige ger.","FAT",3.8
