"id","public_id","name","moldb_iupac","state","annotation_quality","description","cas_number","moldb_inchikey","moldb_inchi","moldb_smiles","moldb_mono_mass","kingdom","superklass","klass","subklass"
4,"FDB000004","Cyanidin 3-(6''-acetyl-galactoside)","","low","Constituent of the leaves of Nymphaea alba [CCD]. Cyanidin 3-(6''-acetyl-galactoside) is found in lowbush blueberry and highbush blueberry.","350602-26-5","[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","InChI=1S/C23H22O12/c1-9(24)32-8-18-19(29)20(30)21(31)23(35-18)34-17-7-12-14(27)5-11(25)6-16(12)33-22(17)10-2-3-13(26)15(28)4-10/h2-7,18-21,23,29-31H,8H2,1H3,(H3-,25,26,27,28)/p+1/t18-,19+,20+,21-,23-/m1/s1",491.1189512,"HBXXDBKJLPLXPR-DLBZZEGUSA-O","3-{[(2S,3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1lambda4-chromen-1-ylium","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
13,"FDB000013","Cyanidin 3-(6''-succinyl-glucoside)","","low","Constituent of Phragmites australis [CCD]. Cyanidin 3-(6''-succinyl-glucoside) is found in strawberry.","216692-08-9","[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","InChI=1S/C25H24O14/c26-11-6-14(28)12-8-17(24(37-16(12)7-11)10-1-2-13(27)15(29)5-10)38-25-23(35)22(34)21(33)18(39-25)9-36-20(32)4-3-19(30)31/h1-2,5-8,18,21-23,25,33-35H,3-4,9H2,(H4-,26,27,28,29,30,31)/p+1/t18-,21-,22+,23-,25-/m1/s1",549.1244305,"MIYGQTFETYBMKF-WVXUANQFSA-O","7-methoxy-2,2-dimethyl-2H-chromene-6-carboxylic acid","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
14,"FDB000014","Pelargonidin 3-(6''-succinyl-glucoside)","liquid","low","Pelargonidin 3-(6''-succinyl-glucoside) is a member of the class of compounds known as anthocyanidin-3-o-glycosides. Anthocyanidin-3-o-glycosides are phenolic compounds containing one anthocyanidin moiety which is O-glycosidically linked to a carbohydrate moiety at the C3-position. Pelargonidin 3-(6''-succinyl-glucoside) is practically insoluble (in water) and a weakly acidic compound (based on its pKa). Pelargonidin 3-(6''-succinyl-glucoside) can be found in cloudberry, red raspberry, strawberry, and wheat, which makes pelargonidin 3-(6''-succinyl-glucoside) a potential biomarker for the consumption of these food products. ","","[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","InChI=1S/C25H24O13/c26-12-3-1-11(2-4-12)24-17(9-14-15(28)7-13(27)8-16(14)36-24)37-25-23(34)22(33)21(32)18(38-25)10-35-20(31)6-5-19(29)30/h1-4,7-9,18,21-23,25,32-34H,5-6,10H2,(H3-,26,27,28,29,30)/p+1/t18-,21-,22+,23-,25-/m1/s1",533.1295159,"UBUSYXLSGMWUJJ-WVXUANQFSA-O","3-{[(2S,3R,4S,5S,6R)-6-{[(3-carboxypropanoyl)oxy]methyl}-3,4,5-trihydroxyoxan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxyphenyl)-1lambda4-chromen-1-ylium","","","",""
24,"FDB000024","Petunidin 3-O-(6''-acetyl-galactoside)","","low","Petunidin 3-o-(6''-acetyl-galactoside) is a member of the class of compounds known as anthocyanidin-3-o-glycosides. Anthocyanidin-3-o-glycosides are phenolic compounds containing one anthocyanidin moiety which is O-glycosidically linked to a carbohydrate moiety at the C3-position. Petunidin 3-o-(6''-acetyl-galactoside) is practically insoluble (in water) and a very weakly acidic compound (based on its pKa). Petunidin 3-o-(6''-acetyl-galactoside) can be found in highbush blueberry and lowbush blueberry, which makes petunidin 3-o-(6''-acetyl-galactoside) a potential biomarker for the consumption of these food products.","","[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","InChI=1S/C24H24O13/c1-9(25)34-8-18-20(30)21(31)22(32)24(37-18)36-17-7-12-13(27)5-11(26)6-15(12)35-23(17)10-3-14(28)19(29)16(4-10)33-2/h3-7,18,20-22,24,30-32H,8H2,1-2H3,(H3-,26,27,28,29)/p+1/t18-,20+,21+,22-,24?/m1/s1",521.1295159,"GPUBWXUQPURXOQ-SKKXNPCDSA-O","3-{[(3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-1lambda4-chromen-1-ylium","","","",""
25,"FDB000025","Peonidin 3-(6''-acetyl-galactoside)","","low","Peonidin 3-(6''-acetyl-galactoside) is a member of the class of compounds known as anthocyanidin-3-o-glycosides. Anthocyanidin-3-o-glycosides are phenolic compounds containing one anthocyanidin moiety which is O-glycosidically linked to a carbohydrate moiety at the C3-position. Peonidin 3-(6''-acetyl-galactoside) is practically insoluble (in water) and a very weakly acidic compound (based on its pKa). Peonidin 3-(6''-acetyl-galactoside) can be found in highbush blueberry and lowbush blueberry, which makes peonidin 3-(6''-acetyl-galactoside) a potential biomarker for the consumption of these food products.","75-07-0","[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","InChI=1S/C24H24O12/c1-10(25)33-9-19-20(29)21(30)22(31)24(36-19)35-18-8-13-15(28)6-12(26)7-16(13)34-23(18)11-3-4-14(27)17(5-11)32-2/h3-8,19-22,24,29-31H,9H2,1-2H3,(H2-,26,27,28)/p+1/t19-,20+,21+,22-,24?/m1/s1",505.1346013,"MBSKDCPWFSMEFD-ZKVZURMCSA-O","3-{[(3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-1lambda4-chromen-1-ylium","","","",""
27,"FDB000027","Malvidin 3-(6''-acetyl-galactoside)","","low","Malvidin 3-(6''-acetyl-galactoside) is a member of the class of compounds known as anthocyanidin-3-o-glycosides. Anthocyanidin-3-o-glycosides are phenolic compounds containing one anthocyanidin moiety which is O-glycosidically linked to a carbohydrate moiety at the C3-position. Malvidin 3-(6''-acetyl-galactoside) is practically insoluble (in water) and a very weakly acidic compound (based on its pKa). Malvidin 3-(6''-acetyl-galactoside) can be found in highbush blueberry and lowbush blueberry, which makes malvidin 3-(6''-acetyl-galactoside) a potential biomarker for the consumption of these food products.","75-07-0","[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O","InChI=1S/C25H26O13/c1-10(26)35-9-19-21(30)22(31)23(32)25(38-19)37-18-8-13-14(28)6-12(27)7-15(13)36-24(18)11-4-16(33-2)20(29)17(5-11)34-3/h4-8,19,21-23,25,30-32H,9H2,1-3H3,(H2-,27,28,29)/p+1/t19-,21+,22+,23-,25?/m1/s1",535.145166,"WGYWEDJQQFKGID-ZTKYFMRJSA-O","3-{[(3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-1lambda4-chromen-1-ylium","","","",""
31,"FDB000031","Pelargonidin 3-arabinoside","liquid","low","Pelargonidin 3-arabinoside is a member of the class of compounds known as anthocyanidin-3-o-glycosides. Anthocyanidin-3-o-glycosides are phenolic compounds containing one anthocyanidin moiety which is O-glycosidically linked to a carbohydrate moiety at the C3-position. Pelargonidin 3-arabinoside is practically insoluble (in water) and a very weakly acidic compound (based on its pKa). Pelargonidin 3-arabinoside can be found in a number of food items such as gooseberry, strawberry, black elderberry, and blackcurrant, which makes pelargonidin 3-arabinoside a potential biomarker for the consumption of these food products.","","[H][C@]1(CO)O[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@]([H])(O)[C@]1([H])O","InChI=1S/C20H18O9/c21-8-16-17(25)18(26)20(29-16)28-15-7-12-13(24)5-11(23)6-14(12)27-19(15)9-1-3-10(22)4-2-9/h1-7,16-18,20-21,25-26H,8H2,(H2-,22,23,24)/p+1/t16-,17-,18+,20+/m1/s1",403.1029072,"BGOQMKHOLJPANL-XSYGEPLQSA-O","3-{[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxyphenyl)-1lambda4-chromen-1-ylium","","","",""
35,"FDB000035","Peonidin 3-(6''-p-coumaroyl-glucoside)","","low","Peonidin 3-(6''-p-coumaroyl-glucoside) is a member of the class of compounds known as anthocyanidin 3-o-6-p-coumaroyl glycosides. Anthocyanidin 3-o-6-p-coumaroyl glycosides are anthocyanidin 3-O-glycosides where the carbohydrate moiety is esterified at the C6 position with a p-coumaric acid. P-coumaric acid is an organic derivative of cinnamic acid, that carries a hydroxyl group at the 4-position of the benzene ring. Peonidin 3-(6''-p-coumaroyl-glucoside) is practically insoluble (in water) and a very weakly acidic compound (based on its pKa). Peonidin 3-(6''-p-coumaroyl-glucoside) can be found in common grape and grape wine, which makes peonidin 3-(6''-p-coumaroyl-glucoside) a potential biomarker for the consumption of these food products.","147-85-3","[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","InChI=1S/C31H28O13/c1-40-23-10-16(5-8-20(23)34)30-24(13-19-21(35)11-18(33)12-22(19)42-30)43-31-29(39)28(38)27(37)25(44-31)14-41-26(36)9-4-15-2-6-17(32)7-3-15/h2-13,25,27-29,31,37-39H,14H2,1H3,(H3-,32,33,34,35,36)/p+1/t25-,27-,28+,29-,31?/m1/s1",609.160816,"MFHMTMFSFNMTFQ-RJBRRTDCSA-O","5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-{[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy}methyl)oxan-2-yl]oxy}-1lambda4-chromen-1-ylium","","","",""
40,"FDB000040","Delphinidin 3-xyloside","","low","Delphinidin 3-xyloside is a member of the class of compounds known as anthocyanidin-3-o-glycosides. Anthocyanidin-3-o-glycosides are phenolic compounds containing one anthocyanidin moiety which is O-glycosidically linked to a carbohydrate moiety at the C3-position. Delphinidin 3-xyloside is practically insoluble (in water) and a very weakly acidic compound (based on its pKa). Delphinidin 3-xyloside can be found in a number of food items such as black chokeberry, redcurrant, gooseberry, and blackcurrant, which makes delphinidin 3-xyloside a potential biomarker for the consumption of these food products.","","[H][C@]1(CO)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]1([H])O","InChI=1S/C20H18O11/c21-6-15-17(27)18(28)20(31-15)30-14-5-9-10(23)3-8(22)4-13(9)29-19(14)7-1-11(24)16(26)12(25)2-7/h1-5,15,17-18,20-21,27-28H,6H2,(H4-,22,23,24,25,26)/p+1/t15-,17+,18-,20-/m1/s1",435.0927365,"WIEYMFHXYNRELM-MJKGWSOKSA-O","3-{[(2S,3R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-1lambda4-chromen-1-ylium","","","",""
41,"FDB000041","Petunidin 3-(6''-p-coumaroyl-glucoside)","","low","Petunidin 3-(6''-p-coumaroyl-glucoside) is a member of the class of compounds known as anthocyanidin 3-o-6-p-coumaroyl glycosides. Anthocyanidin 3-o-6-p-coumaroyl glycosides are anthocyanidin 3-O-glycosides where the carbohydrate moiety is esterified at the C6 position with a p-coumaric acid. P-coumaric acid is an organic derivative of cinnamic acid, that carries a hydroxyl group at the 4-position of the benzene ring. Petunidin 3-(6''-p-coumaroyl-glucoside) is practically insoluble (in water) and a very weakly acidic compound (based on its pKa). Petunidin 3-(6''-p-coumaroyl-glucoside) can be found in a number of food items such as black elderberry, redcurrant, highbush blueberry, and black chokeberry, which makes petunidin 3-(6''-p-coumaroyl-glucoside) a potential biomarker for the consumption of these food products.","147-85-3","[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","InChI=1S/C31H28O14/c1-41-22-9-15(8-20(35)26(22)37)30-23(12-18-19(34)10-17(33)11-21(18)43-30)44-31-29(40)28(39)27(38)24(45-31)13-42-25(36)7-4-14-2-5-16(32)6-3-14/h2-12,24,27-29,31,38-40H,13H2,1H3,(H4-,32,33,34,35,36,37)/p+1/t24-,27-,28+,29-,31?/m1/s1",625.1557306,"KTFQEFWNLAUGAX-YQUABMASSA-O","2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-3-{[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy}methyl)oxan-2-yl]oxy}-1lambda4-chromen-1-ylium","","","",""
