id,source_id,source_type,food_id,orig_food_id,orig_food_common_name,orig_food_scientific_name,orig_food_part,orig_source_id,orig_source_name,citation,preparation_type,export,food_V2_ID,orig_food_common_name_lemmatized
1,1,Nutrient,4,29,kiwi,Actinidia chinensis PLANCHON [Actinidiaceae],Fruit,FAT,FAT,DUKE,raw,0,1,{'kiwi'}
2,1,Nutrient,6,53,onion,Allium cepa L. [Liliaceae],Bulb,FAT,FAT,DUKE,raw,0,2,{'onion'}
4,1,Nutrient,9,55,chives,Allium schoenoprasum L. [Liliaceae],Leaf,FAT,FAT,DUKE,raw,0,3,{'chive'}
5,1,Nutrient,11,70,cashew,Anacardium occidentale L. [Anacardiaceae],Fruit,FAT,FAT,DUKE,other,0,4,{'cashew'}
8,1,Nutrient,12,74,pineapple,Ananas comosus (L.) MERR. [Bromeliaceae],Fruit,FAT,FAT,DUKE,raw,0,5,{'pineapple'}
9,1,Nutrient,13,83,dill,Anethum graveolens L. [Apiaceae],Plant,FAT,FAT,DUKE,raw,0,6,{'dill'}
11,1,Nutrient,14,92,custard apple,Annona reticulata L. [Annonaceae],Fruit,FAT,FAT,DUKE,raw,0,7,"{'apple', 'custard'}"
13,1,Nutrient,15,96,celery,Apium graveolens L. [Apiaceae],Fruit,FAT,FAT,DUKE,raw,0,8,{'celery'}
16,1,Nutrient,16,101,groundnut,Arachis hypogaea L. [Fabaceae],Leaf,FAT,FAT,DUKE,other,0,9,{'groundnut'}
19,1,Nutrient,17,104,burdock,Arctium lappa L. [Asteraceae],Fruit,FAT,FAT,DUKE,other (raw),0,10,{'burdock'}
22,1,Nutrient,18,115,horseradish,Armoracia rusticana GAERTN. ET AL. [Brassicaceae],Root,FAT,FAT,DUKE,other,0,11,{'horseradish'}
23,1,Nutrient,19,123,tarragon,Artemisia dracunculus L. [Asteraceae],Seed,FAT,FAT,DUKE,other,0,12,{'tarragon'}
25,1,Nutrient,20,127,mugwort,Artemisia vulgaris L. [Asteraceae],Leaf,FAT,FAT,DUKE,other,0,13,{'mugwort'}
26,1,Nutrient,21,137,asparagus,Asparagus officinalis L. [Liliaceae],Root,FAT,FAT,DUKE,raw,0,14,{'asparagus'}
28,1,Nutrient,22,144,oats,Avena sativa L. [Poaceae],Plant,FAT,FAT,DUKE,other,0,15,{'oat'}
30,1,Nutrient,23,1207,carambola,Averrhoa carambola L. [Oxalidaceae],Fruit,FAT,FAT,DUKE,other (raw),0,16,{'carambola'}
31,1,Nutrient,24,156,brazilnut,Bertholletia excelsa BONPL. [Lecythidaceae],Seed,FAT,FAT,DUKE,other,0,17,{'brazilnut'}
32,1,Nutrient,26,166,beebread,Borago officinalis L. [Boraginaceae],Leaf,FAT,FAT,DUKE,other,0,18,{'beebread'}
34,1,Nutrient,27,171,mustard greens,Brassica juncea (L.) CZERNJ. & COSSON [Brassicaceae],Leaf,FAT,FAT,DUKE,other,0,19,"{'green', 'mustard'}"
36,1,Nutrient,32,175,brussel sprout,Brassica oleracea var. gemmifera var. gemmifera DC [Brassicaceae],Leaf,FAT,FAT,DUKE,other (raw),0,20,"{'sprout', 'brussel'}"
37,1,Nutrient,33,180,kohlrabi,Brassica oleracea var. gongylodes L. [Brassicaceae],Stem,FAT,FAT,DUKE,other,0,21,{'kohlrabi'}
38,1,Nutrient,34,2255,asparagus broccoli,"Brassica oleracea var. italica L., PLENCK [Brassicaceae]",Leaf,FAT,FAT,DUKE,raw,0,22,"{'broccoli', 'asparagus'}"
39,1,Nutrient,37,193,pigeonpea,Cajanus cajan (L.) HUTH [Fabaceae],Fruit,FAT,FAT,DUKE,raw,0,23,{'pigeonpea'}
