"Ingredient_subcode","Ingredient_description","Ingredient_weight_g","entry","food_V2_ID","foodb_id","orig_food_id","orig_food_common_name"
2014,"spices cumin seed",1.5,"1",701,67,2014,"spices cumin seed"
4691,"margarine regular 80 fat composite stick with salt with added vitamin d",35,"2",8293,872,4691,"margarine regular 80 fat composite stick with salt with added vitamin d"
1215,"cheese product pasteurized process american reduced fat fortified with vitamin d",3,"3",7115,735,1215,"cheese product pasteurized process american reduced fat fortified with vitamin d"
5000,"chicken broiler rotisserie bbq breast meat only",50,"4",9405,334,NA,"chicken broiler fryers breast skinless boneless meat only cooked braised"
9253,"pears canned water pack solids liquids",92,"5",1283,152,9253,"pears canned water pack solids liquids"
11403,"potatoes french fried all types salt added processing frozen home prepared oven heated",100,"6",1454,175,11403,"potatoes french fried all types salt added processing frozen home prepared oven heated"
20080,"wheat flour whole grain includes for usda's program",120,"7",4500,575,20080,"wheat flour whole grain"
20019,"corn flour masa unenriched white",399,"8",1636,205,20019,"corn flour masa unenriched white"
11391,"potatoes hash brown frozen plain prepared pan fried canola oil",100,"9",1444,175,11391,"potatoes hashed brown frozen plain prepared"
23606,"beef short loin top loin steak separable lean only trimmed 1/8"" fat all grades cooked broiled",25,"10",3778,506,23606,"beef short loin top loin steak separable lean only trimmed 1/8"" fat all grades cooked broiled"
12120,"nuts hazelnuts filberts",7,"11",2615,381,12120,"nuts hazelnuts filberts"
11143,"celery raw",100,"12",283,15,15,"celery raw"
19141,"candies mars snackfood us m&m's milk chocolate candies",10,"13",6741,701,19141,"candies mars snackfood us m&m's milk chocolate candies"
1035,"cheese provolone",5,"14",4765,631,1035,"cheese provolone"
16123,"soy sauce made from soy wheat shoyu",5.3,"15",6868,716,16123,"soy sauce made from soy wheat shoyu"
19265,"ice creams chocolate light no sugar added",50,"16",4948,641,19265,"ice creams chocolate light no sugar added"
4615,"shortening vegetable household composite",6.406,"17",7863,808,4615,"shortening vegetable household composite"
21469,"fast fried chicken breast meat skin breading",50,"18",9014,334,NA,"chicken flesh skin battered deepfried"
4698,"oil industrial canola high oleic",25,"19",7785,797,4698,"oil industrial canola high oleic"
19335,"sugars granulated",8,"20",5521,670,19335,"sugars granulated"
11529,"tomatoes red ripe raw year round average",80,"21",1379,171,11529,"tomatoes red ripe raw year round average"
15033,"fish haddock raw",100,"22",2606,379,15033,"fish haddock raw"
4610,"margarine regular 80 fat composite stick with salt",65,"23",8283,872,4610,"margarine regular 80 fat composite stick with salt"
18079,"bread crumbs dry grated plain",25,"24",7977,832,18079,"bread crumbs dry grated plain"
12016,"seeds pumpkin squash seed kernels roasted without salt",25,"25",697,66,12016,"seeds pumpkin squash seed kernels roasted without salt"
18248,"doughnuts cake type plain includes unsugared old fashioned",60,"26",5222,660,18248,"doughnuts cake type plain includes unsugared old fashioned"
16033,"beans kidney red mature seeds cooked boiled without salt",100,"27",1091,134,16033,"beans kidney red mature seeds cooked boiled without salt"
18166,"cookies chocolate sandwich with creme filling regular",5,"28",2252,275,18166,"cookies chocolate sandwich with creme filling regular"
16043,"beans pinto mature seeds cooked boiled without salt",100,"29",1101,134,16043,"beans pinto mature seeds cooked boiled without salt"
18963,"garlic bread frozen",100,"30",1764,269,18963,"garlic bread frozen"
20045,"rice white long grain regular enriched cooked",158,"31",958,125,20045,"rice white long grain regular cooked"
12085,"nuts cashew nuts dry roasted without salt added",30,"32",253,11,12085,"nuts cashew nuts dry roasted without salt added"
19114,"ice creams chocolate light",50,"33",4946,641,19114,"ice creams chocolate light"
11549,"tomato products canned sauce",80,"34",5463,665,11549,"tomato products canned sauce"
9017,"apple juice frozen concentrate unsweetened undiluted without added ascorbic acid",12,"35",904,105,9017,"apple juice frozen concentrate unsweetened undiluted without added ascorbic acid"
13382,"beef chuck blade roast separable lean only trimmed 0"" fat all grades cooked braised",100,"36",3068,506,13382,"beef chuck blade roast separable lean only trimmed 0"" fat all grades cooked braised"
23100,"beef rib eye steak boneless lip on separable lean only trimmed 1/8"" fat all grades cooked grilled",25,"37",3518,506,23100,"beef rib eye steak boneless lip on separable lean only trimmed 1/8"" fat all grades cooked grilled"
12117,"nuts coconut milk raw liquid expressed from grated meat water",7,"38",2503,341,12117,"nuts coconut milk raw liquid expressed from grated meat water"
4053,"oil olive salad cooking",25,"39",938,121,4053,"oil olive salad cooking"
18369,"leavening agents baking powder double acting sodium aluminum sulfate",1,"40",5727,682,18369,"leavening agents baking powder double acting sodium aluminum sulfate"
31023,"sweet potatoes french fried frozen packaged salt added processing",100,"41",1423,175,11359,"potatoes french fried crinkle regular cut salt added processing frozen purchased"
11161,"collards raw",100,"42",1684,247,11161,"collards raw"
1082,"milk lowfat fluid 1 milkfat with added vitamin a vitamin d",17,"43",4825,632,1082,"milk lowfat fluid 1 milkfat with added vitamin a vitamin d"
12152,"nuts pistachio nuts dry roasted without salt added",7,"44",1148,140,12152,"nuts pistachio nuts dry roasted without salt added"
10862,"pork cured bacon pre sliced cooked pan fried",15,"45",4298,549,10862,"pork cured bacon cooked pan fried"
1123,"egg whole raw fresh",15,"46",4851,633,1123,"egg whole raw fresh"
11979,"peppers jalapeno raw",45,"47",527,40,11979,"peppers jalapeno raw"
11457,"spinach raw",100,"48",1500,178,278,"spinach raw"
23577,"beef ground 75 lean meat / 25 fat raw",34,"49",3749,506,23577,"beef ground 75 lean meat / 25 fat raw"
23562,"beef ground 90 lean meat / 10 fat raw",16,"50",3734,506,23562,"beef ground 90 lean meat / 10 fat raw"
18141,"cake yellow commercially prepared with vanilla frosting",100,"51",5043,654,18141,"cake yellow commercially prepared with vanilla frosting"
5069,"chicken broilers fryers drumstick meat skin cooked roasted",100,"52",9013,334,NA,"chicken flesh skin grilled"
9096,"fruit cocktail peach pineapple pear grape cherry canned water pack solids liquids",92,"53",7629,791,9096,"fruit cocktail peach pineapple pear grape cherry canned water pack solids liquids"
5306,"turkey ground cooked",100,"54",5660,671,7955,"turkey sausage fresh raw"
12142,"nuts pecans",7,"55",545,44,12142,"nuts pecans"
