Ingredient_code,orig_food_id,food_V2_ID,asa_descrip,foodb_descrip,osa,lv,dl,hamming,lcs,qgram,cosine,jaccard,jw,soundex,Classification
1009,1009,4739,cheese cheddar includes for usda's program,cheese cheddar,0.333333333,0.333333333,0.333333333,0,0.5,0.5,0.818557734,0.444444444,0.866666667,1,1
1009,1009,7997,cheese cheddar includes for usda's program,bread white coarse grain,0.261904762,0.261904762,0.261904762,0,0.393939394,0.606060606,0.848874688,0.571428571,0.611507937,0,0
1118,1118,1325,yogurt plain skim milk,marmalade raspberry,0.181818182,0.181818182,0.181818182,0,0.243902439,0.43902439,0.461265604,0.444444444,0.362838915,0,0
1118,1118,4891,yogurt plain skim milk,yogurt plain skim milk 13 grams protein per 8 ounce,0.431372549,0.431372549,0.431372549,0,0.602739726,0.602739726,0.880935367,0.75,0.88627451,1,1
1124,1124,3900,egg white raw fresh,herring autumn raw,0.105263158,0.105263158,0.105263158,0,0.432432432,0.594594595,0.707673146,0.642857143,0.563352827,0,0
1124,1124,4852,egg white raw fresh,egg white raw fresh,1,1,1,1,1,1,1,1,1,1,1
1056,1056,137,cream sour cultured,adzuki bean,0.105263158,0.105263158,0.105263158,0,0.266666667,0.333333333,0.455960753,0.294117647,0.399720893,0,0
1056,1056,5509,cream sour cultured,cream sour cultured,1,1,1,1,1,1,1,1,1,1,1
1056,1056,5703,cream sour cultured,bouillon chicken prepared,0.2,0.2,0.2,0,0.318181818,0.590909091,0.69542165,0.5,0.53661882,0,0
1094,1094,5328,milk buttermilk dried,mayonnaise low fat,0.142857143,0.142857143,0.142857143,0,0.256410256,0.358974359,0.417634535,0.333333333,0.530952381,0,0
1094,1094,6862,milk buttermilk dried,milk buttermilk dried,1,1,1,1,1,1,1,1,1,1,1
1252,1252,7116,cheese product pasteurized process american vitamin d fortified,cheese product pasteurized process american vitamin d fortified,1,1,1,1,1,1,1,1,1,1,1
1252,1252,8278,cheese product pasteurized process american vitamin d fortified,margarine 70  fat table use soft vegetable fat,0.206349206,0.206349206,0.206349206,0,0.311926606,0.605504587,0.783210966,0.565217391,0.5660782,0,0
1001,1001,5489,butter salted,butter salted,1,1,1,1,1,1,1,1,1,1,1
1001,1001,5534,butter salted,pork sausage frankfurter canned,0.258064516,0.258064516,0.258064516,0,0.363636364,0.409090909,0.606160806,0.470588235,0.499483044,0,0
1117,1117,591,yogurt plain low fat,marmalade orange,0.25,0.25,0.25,0,0.333333333,0.444444444,0.558823529,0.411764706,0.45297619,0,0
1117,1117,4890,yogurt plain low fat,yogurt plain low fat 12 grams protein per 8 ounce,0.408163265,0.408163265,0.408163265,0,0.579710145,0.579710145,0.887427815,0.666666667,0.881632653,1,1
1025,1025,132,cheese monterey,wheat,0.2,0.2,0.2,0,0.3,0.3,0.529150262,0.230769231,0.6,0,0
1025,1025,4755,cheese monterey,cheese monterey,1,1,1,1,1,1,1,1,1,1,1
1025,1025,5202,cheese monterey,pastry garland cake,0.105263158,0.105263158,0.105263158,0,0.235294118,0.470588235,0.4,0.470588235,0.433040936,0,0
1237,1237,4939,ice cream bar stick chocolate covered,ice cream bar stick chocolate covered,1,1,1,1,1,1,1,1,1,1,1
1237,1237,5321,ice cream bar stick chocolate covered,chewing gum no sugar added all types,0.189189189,0.189189189,0.189189189,0,0.328767123,0.575342466,0.702617881,0.590909091,0.548698699,0,0
1116,1116,4889,yogurt plain whole milk,yogurt plain whole milk 8 grams protein per 8 ounce,0.450980392,0.450980392,0.450980392,0,0.621621622,0.621621622,0.894427191,0.85,0.890196078,1,1
1116,1116,5705,yogurt plain whole milk,meat extract cube,0.130434783,0.130434783,0.130434783,0,0.25,0.4,0.460132168,0.35,0.482381358,0,0
1053,1053,5506,cream fluid heavy whipping,cream fluid heavy whipping,1,1,1,1,1,1,1,1,1,1,1
1053,1053,5724,cream fluid heavy whipping,yeast extract marmite,0.192307692,0.192307692,0.192307692,0,0.29787234,0.468085106,0.557442094,0.380952381,0.47026862,0,0
1032,1032,4762,cheese parmesan grated,cheese parmesan grated,1,1,1,1,1,1,1,1,1,1,1
1032,1032,4840,cheese parmesan grated,egg chicken whole dried,0.217391304,0.217391304,0.217391304,0,0.4,0.533333333,0.705049739,0.444444444,0.492753623,0,0
1079,1079,2337,milk reduced fat fluid 2 milkfat with added vitamin a vitamin d,aquavit 40  vol. average values,0.206349206,0.206349206,0.206349206,0,0.29787234,0.468085106,0.689575537,0.36,0.52720368,0,0
1079,1079,4822,milk reduced fat fluid 2 milkfat with added vitamin a vitamin d,milk reduced fat fluid 2 milkfat with added vitamin a vitamin d,1,1,1,1,1,1,1,1,1,1,1
1049,1049,4594,cream fluid half half,seaweed konbu dried kelp,0.208333333,0.208333333,0.208333333,0,0.355555556,0.444444444,0.497978305,0.421052632,0.471560847,0,0
1049,1049,5503,cream fluid half half,cream fluid half half,1,1,1,1,1,1,1,1,1,1,1
1049,1049,8695,cream fluid half half,vervain,0.095238095,0.095238095,0.095238095,0,0.214285714,0.285714286,0.291729983,0.285714286,0.503968254,0,0
1179,1179,5006,sour cream light,toffees unspecified,0.105263158,0.105263158,0.105263158,0,0.228571429,0.457142857,0.488901207,0.444444444,0.482926065,0,0
1179,1179,5511,sour cream light,sour cream light,1,1,1,1,1,1,1,1,1,1,1
1085,1085,4617,milk nonfat fluid with added vitamin a vitamin d fat free skim,wine red rose non alcoholic,0.193548387,0.193548387,0.193548387,0,0.269662921,0.471910112,0.669918661,0.631578947,0.477744981,0,0
1085,1085,4828,milk nonfat fluid with added vitamin a vitamin d fat free skim,milk nonfat fluid with added vitamin a vitamin d fat free skim,1,1,1,1,1,1,1,1,1,1,1
1085,1085,9035,milk nonfat fluid with added vitamin a vitamin d fat free skim,wine red rosé non alcoholic,0.177419355,0.177419355,0.177419355,0,0.247191011,0.449438202,0.669922742,0.6,0.477744981,0,0
1069,1069,4663,cream substitute powdered,liqueur average values,0.12,0.12,0.12,0,0.29787234,0.553191489,0.672926585,0.368421053,0.550151515,0,0
1069,1069,7150,cream substitute powdered,cream substitute powdered,1,1,1,1,1,1,1,1,1,1,1
2009,2009,495,spices chili powder,spices chili powder,1,1,1,1,1,1,1,1,1,1,1
2009,2009,5319,spices chili powder,dragee average values,0.19047619,0.19047619,0.19047619,0,0.2,0.4,0.432843655,0.375,0.422723475,0,0
